Categorías;Barrios;2018;2019;2020;2021;2022
5 personas;09. Moncloa-Aravaca;2.773;2.790;2.846;2.823;2.857
5 personas;10. Latina;4.058;4.217;4.353;4.357;4.332
5 personas;11. Carabanchel;4.945;5.114;5.356;5.325;5.332
5 personas;12. Usera;3.093;3.192;3.304;3.265;3.277
5 personas;13. Puente de Vallecas;4.635;4.839;4.970;4.998;5.021
5 personas;14. Moratalaz;1.735;1.717;1.812;1.743;1.742
5 personas;15. Ciudad Lineal;4.220;4.327;4.315;4.235;4.143
5 personas;16. Hortaleza;4.030;4.245;4.386;4.420;4.487
5 personas;17. Villaverde;3.123;3.182;3.498;3.545;3.480
5 personas;18. Villa de Vallecas;1.835;1.898;2.040;2.071;2.102
5 personas;19. Vicálvaro;1.320;1.383;1.427;1.460;1.456
5 personas;20. San Blas-Canillejas;2.866;2.924;3.123;3.034;3.072
5 personas;21. Barajas;1.067;1.050;1.071;1.080;1.046
6 personas;01. Centro;704;765;756;774;767
6 personas;02. Arganzuela;788;751;847;850;773
6 personas;03. Retiro;807;848;892;846;806
6 personas;04. Salamanca;1.203;1.262;1.239;1.192;1.161
6 personas;05. Chamartín;1.445;1.468;1.507;1.481;1.471
6 personas;06. Tetuán;1.374;1.437;1.467;1.424;1.350
6 personas;07. Chamberí;948;1.016;989;1.037;945
6 personas;08. Fuencarral-El Pardo;1.912;1.983;2.079;2.037;1.920
6 personas;09. Moncloa-Aravaca;1.128;1.142;1.201;1.181;1.117
6 personas;10. Latina;1.694;1.808;1.894;1.971;1.852
6 personas;11. Carabanchel;2.182;2.317;2.507;2.576;2.489
6 personas;12. Usera;1.368;1.531;1.710;1.651;1.602
6 personas;13. Puente de Vallecas;2.061;2.214;2.371;2.425;2.263
6 personas;14. Moratalaz;620;652;668;631;573
6 personas;15. Ciudad Lineal;1.628;1.648;1.819;1.788;1.736
6 personas;16. Hortaleza;1.340;1.369;1.427;1.420;1.429
6 personas;17. Villaverde;1.412;1.545;1.722;1.719;1.671
6 personas;18. Villa de Vallecas;666;731;853;783;775
6 personas;19. Vicálvaro;483;482;510;519;549
6 personas;20. San Blas-Canillejas;977;1.037;1.157;1.213;1.114
6 personas;21. Barajas;276;302;307;298;271
7 personas;01. Centro;351;351;387;389;348
7 personas;02. Arganzuela;363;364;358;316;300
7 personas;03. Retiro;320;322;345;337;302
7 personas;04. Salamanca;506;455;438;453;433
7 personas;05. Chamartín;585;581;610;592;568
7 personas;06. Tetuán;693;754;788;734;675
7 personas;07. Chamberí;378;389;391;375;378
7 personas;08. Fuencarral-El Pardo;768;790;851;879;796
7 personas;09. Moncloa-Aravaca;407;464;464;451;476
7 personas;10. Latina;813;907;989;986;907
7 personas;11. Carabanchel;1.128;1.275;1.399;1.373;1.212
7 personas;12. Usera;778;833;856;915;825
7 personas;13. Puente de Vallecas;1.003;1.097;1.322;1.237;1.143
7 personas;14. Moratalaz;244;280;309;284;252
7 personas;15. Ciudad Lineal;797;828;908;871;774
7 personas;16. Hortaleza;501;556;559;555;533
7 personas;17. Villaverde;703;784;868;923;831
7 personas;18. Villa de Vallecas;343;367;350;389;391
7 personas;19. Vicálvaro;185;219;259;232;226
7 personas;20. San Blas-Canillejas;490;489;558;546;496
7 personas;21. Barajas;110;132;129;122;111
8 personas;01. Centro;179;169;200;198;180
8 personas;02. Arganzuela;173;184;190;160;156
8 personas;03. Retiro;127;126;143;140;119
8 personas;04. Salamanca;218;194;215;196;183
8 personas;05. Chamartín;312;278;253;260;241
8 personas;06. Tetuán;342;326;397;389;364
8 personas;07. Chamberí;181;177;181;175;146
8 personas;08. Fuencarral-El Pardo;332;341;412;371;336
8 personas;09. Moncloa-Aravaca;197;215;224;226;193
8 personas;10. Latina;413;445;534;542;474
8 personas;11. Carabanchel;592;686;794;782;681
8 personas;12. Usera;428;426;532;529;453
8 personas;13. Puente de Vallecas;554;593;679;708;612
8 personas;14. Moratalaz;139;138;150;159;118
8 personas;15. Ciudad Lineal;371;446;434;418;386
8 personas;16. Hortaleza;236;229;280;277;250
8 personas;17. Villaverde;346;403;484;494;412
8 personas;18. Villa de Vallecas;141;183;196;203;174
8 personas;19. Vicálvaro;99;105;120;113;110
8 personas;20. San Blas-Canillejas;213;252;289;299;244
8 personas;21. Barajas;28;46;49;70;48
9 personas;01. Centro;83;104;112;129;121
9 personas;02. Arganzuela;74;88;93;92;76
9 personas;03. Retiro;74;61;60;66;59
9 personas;04. Salamanca;85;87;93;96;90
9 personas;05. Chamartín;112;144;147;124;92
9 personas;06. Tetuán;180;191;233;228;169
9 personas;07. Chamberí;94;93;90;87;83
9 personas;08. Fuencarral-El Pardo;174;187;197;195;169
9 personas;09. Moncloa-Aravaca;105;98;99;93;113
9 personas;10. Latina;242;247;305;268;241
9 personas;11. Carabanchel;308;331;443;390;324
9 personas;12. Usera;235;278;310;285;248
9 personas;13. Puente de Vallecas;253;336;391;338;304
9 personas;14. Moratalaz;49;55;60;65;65
9 personas;15. Ciudad Lineal;189;196;258;210;195
9 personas;16. Hortaleza;99;117;116;108;100
9 personas;17. Villaverde;177;208;272;244;207
9 personas;18. Villa de Vallecas;81;84;114;112;93
9 personas;19. Vicálvaro;46;50;57;62;48
9 personas;20. San Blas-Canillejas;91;122;139;126;121
9 personas;21. Barajas;23;23;29;22;23
10 personas;01. Centro;73;67;66;78;69
10 personas;02. Arganzuela;40;45;55;60;45
10 personas;03. Retiro;29;40;35;25;25
10 personas;04. Salamanca;46;46;39;39;33
10 personas;05. Chamartín;68;73;65;67;60
10 personas;06. Tetuán;104;120;151;143;94
10 personas;07. Chamberí;48;48;51;48;41
10 personas;08. Fuencarral-El Pardo;78;84;81;80;68
10 personas;09. Moncloa-Aravaca;53;42;56;58;39
10 personas;10. Latina;113;151;167;152;135
10 personas;11. Carabanchel;146;178;227;236;173
