Categorías;Barrios;2018;2019;2020;2021;2022
Bachiller elemental, Graduado escolar, E.S.O.;16. Hortaleza;25.120;25.205;25.462;25.082;24.768
Bachiller elemental, Graduado escolar, E.S.O.;17. Villaverde;34.603;36.013;37.915;38.469;38.130
Bachiller elemental, Graduado escolar, E.S.O.;18. Villa de Vallecas;20.596;21.299;22.037;22.156;22.173
Bachiller elemental, Graduado escolar, E.S.O.;19. Vicálvaro;13.396;13.631;14.090;14.433;14.864
Bachiller elemental, Graduado escolar, E.S.O.;20. San Blas-Canillejas;30.115;30.525;31.203;31.136;30.706
Bachiller elemental, Graduado escolar, E.S.O.;21. Barajas;6.280;6.321;6.413;6.373;6.276
Formación profesional 1er grado;01. Centro;2.922;2.919;2.982;2.981;2.929
Formación profesional 1er grado;02. Arganzuela;3.770;3.779;3.746;3.763;3.708
Formación profesional 1er grado;03. Retiro;1.929;1.961;1.961;1.931;1.894
Formación profesional 1er grado;04. Salamanca;1.995;1.974;1.978;1.927;1.922
Formación profesional 1er grado;05. Chamartín;1.759;1.746;1.737;1.693;1.685
Formación profesional 1er grado;06. Tetuán;4.031;4.047;4.041;4.006;3.953
Formación profesional 1er grado;07. Chamberí;2.102;2.040;2.025;1.964;1.946
Formación profesional 1er grado;08. Fuencarral-El Pardo;6.085;6.152;6.118;6.045;5.955
Formación profesional 1er grado;09. Moncloa-Aravaca;2.136;2.181;2.222;2.188;2.158
Formación profesional 1er grado;10. Latina;9.539;9.698;9.807;9.810;9.757
Formación profesional 1er grado;11. Carabanchel;9.666;9.853;10.139;10.191;10.251
Formación profesional 1er grado;12. Usera;5.460;5.617;5.728;5.741;5.759
Formación profesional 1er grado;13. Puente de Vallecas;9.997;10.244;10.485;10.448;10.454
Formación profesional 1er grado;14. Moratalaz;3.468;3.525;3.564;3.524;3.499
Formación profesional 1er grado;15. Ciudad Lineal;6.547;6.613;6.690;6.603;6.593
Formación profesional 1er grado;16. Hortaleza;5.003;5.106;5.185;5.152;5.177
Formación profesional 1er grado;17. Villaverde;6.626;6.811;7.074;7.087;7.153
Formación profesional 1er grado;18. Villa de Vallecas;5.052;5.195;5.351;5.366;5.379
Formación profesional 1er grado;19. Vicálvaro;3.206;3.291;3.379;3.482;3.682
Formación profesional 1er grado;20. San Blas-Canillejas;6.037;6.128;6.231;6.234;6.224
Formación profesional 1er grado;21. Barajas;1.273;1.287;1.297;1.300;1.292
Formación profesional 2º grado;01. Centro;3.449;3.561;3.753;3.741;3.732
Formación profesional 2º grado;02. Arganzuela;4.679;4.807;4.919;4.928;4.921
Formación profesional 2º grado;03. Retiro;2.597;2.618;2.661;2.665;2.679
Formación profesional 2º grado;04. Salamanca;2.523;2.537;2.577;2.616;2.622
Formación profesional 2º grado;05. Chamartín;2.336;2.365;2.418;2.403;2.399
Formación profesional 2º grado;06. Tetuán;4.062;4.152;4.336;4.333;4.308
Formación profesional 2º grado;07. Chamberí;2.336;2.403;2.443;2.430;2.401
Formación profesional 2º grado;08. Fuencarral-El Pardo;6.754;6.870;7.053;7.050;7.075
Formación profesional 2º grado;09. Moncloa-Aravaca;2.454;2.475;2.537;2.543;2.564
Formación profesional 2º grado;10. Latina;8.630;8.785;9.075;9.160;9.155
Formación profesional 2º grado;11. Carabanchel;8.647;8.898;9.271;9.426;9.557
Formación profesional 2º grado;12. Usera;3.901;3.981;4.224;4.285;4.365
Formación profesional 2º grado;13. Puente de Vallecas;6.820;7.003;7.290;7.414;7.529
Formación profesional 2º grado;14. Moratalaz;3.427;3.486;3.544;3.607;3.609
Formación profesional 2º grado;15. Ciudad Lineal;6.301;6.449;6.788;6.820;6.831
Formación profesional 2º grado;16. Hortaleza;5.674;5.766;5.978;5.994;6.070
Formación profesional 2º grado;17. Villaverde;4.966;5.061;5.327;5.422;5.580
Formación profesional 2º grado;18. Villa de Vallecas;4.545;4.715;4.953;5.082;5.115
Formación profesional 2º grado;19. Vicálvaro;2.978;3.043;3.207;3.353;3.708
Formación profesional 2º grado;20. San Blas-Canillejas;5.788;5.943;6.105;6.168;6.203
Formación profesional 2º grado;21. Barajas;1.551;1.593;1.615;1.619;1.599
Bachiller superior, B.U.P.;01. Centro;17.604;17.668;18.175;18.413;18.020
Bachiller superior, B.U.P.;02. Arganzuela;19.333;19.195;19.281;19.132;18.890
Bachiller superior, B.U.P.;03. Retiro;16.124;15.899;15.808;15.605;15.292
Bachiller superior, B.U.P.;04. Salamanca;19.516;19.216;19.008;18.635;18.207
Bachiller superior, B.U.P.;05. Chamartín;18.778;18.543;18.421;18.172;17.634
Bachiller superior, B.U.P.;06. Tetuán;18.694;18.833;19.279;19.340;19.169
Bachiller superior, B.U.P.;07. Chamberí;16.980;16.782;16.686;16.344;15.966
Bachiller superior, B.U.P.;08. Fuencarral-El Pardo;27.071;27.123;27.587;27.470;27.335
Bachiller superior, B.U.P.;09. Moncloa-Aravaca;13.499;13.525;13.732;13.687;13.465
Bachiller superior, B.U.P.;10. Latina;29.133;29.723;30.485;30.732;30.686
Bachiller superior, B.U.P.;11. Carabanchel;28.101;29.073;30.416;30.773;30.888
Bachiller superior, B.U.P.;12. Usera;13.027;13.438;14.219;14.575;14.783
Bachiller superior, B.U.P.;13. Puente de Vallecas;23.029;24.123;25.297;25.774;25.965
Bachiller superior, B.U.P.;14. Moratalaz;12.375;12.528;12.860;12.778;12.682
